customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_bin,tenure_bin,PaperlessBilling_bin,OnlineSecurity_bin,TechSupport_bin,pred_churn_prob,pred_churn_class
7590-VHVEG,Female,0,1,0,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0,"(-0.001, 12.0]",1,0,0,0.5962776448363719,1
5575-GNVDE,Male,0,0,0,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,0,"(24.0, 36.0]",0,1,0,0.05467881428854316,0
3668-QPYBK,Male,0,0,0,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,"(-0.001, 12.0]",1,1,0,0.3762827198155526,0
7795-CFOCW,Male,0,0,0,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,0,"(36.0, 48.0]",0,1,1,0.020373226783638794,0
9237-HQITU,Female,0,0,0,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,"(-0.001, 12.0]",1,0,0,0.7344464377457478,1
9305-CDSKC,Female,0,0,0,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,"(-0.001, 12.0]",1,0,0,0.722665807835296,1
1452-KIOVK,Male,0,0,1,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,0,"(12.0, 24.0]",1,0,0,0.466869288522513,0
6713-OKOMC,Female,0,0,0,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0,"(-0.001, 12.0]",0,1,0,0.21370867925932854,0
7892-POOKP,Female,0,1,0,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,"(24.0, 36.0]",1,0,1,0.5397090847032604,1
6388-TABGU,Male,0,0,1,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,0,"(60.0, 72.0]",0,1,0,0.017032064579554862,0
9763-GRSKD,Male,0,1,1,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,0,"(12.0, 24.0]",1,1,0,0.23982132459437555,0
7469-LKBCI,Male,0,0,0,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0,"(12.0, 24.0]",0,0,0,0.026588421220649888,0
8091-TTVAX,Male,0,1,0,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,0,"(48.0, 60.0]",0,0,0,0.13552218622195822,0
0280-XJGEX,Male,0,0,0,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,"(48.0, 60.0]",1,0,0,0.4013378442102626,0
